freq,r_insample,r_loso,r_amplitude,p_uncorrected,p_fwe,null95
0.425,0.34429990786384157,-0.2697457276705425,0.6058739683110116,0.5385,1.0,0.35458158499562853
0.43,0.5041574399384653,0.006633189128368653,0.6258524410056056,0.2775,1.0,0.36251829133793084
0.435,0.6126103363929135,0.2934159560812445,0.6069651615976349,0.0825,0.823,0.3520004845628366
0.44,0.6770309064612329,0.5377965871898991,0.5887085975718388,0.008,0.3175,0.3646228904299621
0.445,0.7118389194112514,0.6075544446850533,0.5829349237889361,0.0045,0.1705,0.36638419972591796
0.45,0.7276535208122292,0.603989039719274,0.5897836131532951,0.005,0.177,0.3607403524696621
0.455,0.733280320800716,0.5962815948612901,0.6062397603667128,0.0065,0.1935,0.3568161606754473
0.46,0.7431137590607476,0.6122297407500117,0.6316334981803577,0.004,0.161,0.3362262016841252
0.465,0.7813224894142788,0.6969575312669842,0.6665776249727509,0.0,0.041,0.3351371937207626
0.47,0.7977211324378882,0.7198828550239313,0.6974189433762322,0.0,0.0285,0.3422234505926273
0.475,0.7593736565934556,0.5641436854045399,0.6959904548938726,0.0075,0.253,0.3575860048688211
0.48,0.6818887623845407,0.372976829188275,0.5890424613064631,0.0505,0.6955,0.3736573295312782
0.485,0.5065696600737118,-0.00604510988603589,0.4005397110129916,0.309,1.0,0.3733397847409371
0.49,0.1702681459388972,-0.3129837171508613,0.20435263220736402,0.641,1.0,0.3706964276809469
0.495,0.1255917196066159,-0.5276854992053929,0.07373133200204743,0.837,1.0,0.36261528855573427
0.5,0.25492885966996914,-0.12163587207245588,0.07777439531334022,0.4105,1.0,0.3413396545034446
0.505,0.35375959716317296,0.05350395819511028,0.2548779167772755,0.218,0.9955,0.33562736559072315
0.51,0.47847803838132724,0.19034261804918906,0.3735041849039672,0.111,0.9425,0.32430073800299775
0.515,0.5116931818293369,0.03589381890698612,0.3990642011515086,0.238,0.9985,0.3322564861490123
0.52,0.4529844805019189,-0.09099340281526992,0.3402038767960748,0.379,1.0,0.349302628308574
0.525,0.310030581491763,-0.2052990996857919,0.22681203032263386,0.4955,1.0,0.3562344067232236
0.53,0.15693073059226775,-0.2578745548024288,0.10425815262663093,0.5945,1.0,0.3729166660599952
0.535,0.25554310838966043,-0.21875683030210624,-0.004736283562759331,0.6095,1.0,0.3874011374677135
0.54,0.36745445393387133,-0.18259911083301078,-0.06977288254985521,0.6165,1.0,0.3974069082436791
0.545,0.40430261102367543,-0.13948286195598755,-0.08254607167689235,0.5395,1.0,0.39142277577989354
0.55,0.3572239904291648,0.0473721888725962,-0.008994723865725217,0.255,0.996,0.36096480299322137
0.555,0.28910584558154334,-0.06732580450685584,0.15055981913092578,0.35,1.0,0.3650164058506422
0.56,0.321513329073441,-0.30227250971437863,0.24945145604503016,0.631,1.0,0.37254200194358106
0.565,0.2123097989133885,-0.3231685553032126,0.2545300661065025,0.6595,1.0,0.36926248385228044
0.57,0.024620724496257636,-0.33509954123453595,0.1825756761866042,0.6755,1.0,0.3554322491622293
0.575,0.29020587065093695,-0.21189784811075194,0.10682757745671904,0.5585,1.0,0.36791449269318366
0.58,0.45645153438458247,0.15955808530281082,0.061548608339649376,0.1655,0.962,0.37632659231987503
0.585,0.5190478780157207,0.28094543516573584,0.06476699176685886,0.094,0.8475,0.3815840419788274
0.59,0.49809386058942573,0.2325799129011135,0.11674973540233087,0.1215,0.9025,0.3683856861251641
0.595,0.3855249155110709,0.15461791338430456,0.1946246769782583,0.17,0.965,0.37900388892875486
0.6,0.3801424940395068,0.1734348994369827,0.23781889976499523,0.1665,0.9555,0.39066453099393916
0.605,0.4014128722411491,-0.08309719390347055,0.1953594452462836,0.4185,1.0,0.3754430387548069
0.61,0.29413499726597103,-0.21071329114915452,0.11851817546300372,0.554,1.0,0.3578568184407643
0.615,0.038861305709502796,-0.2773438545999303,0.04069695837472845,0.637,1.0,0.3700659498548179
0.62,0.20502885705937512,-0.25983105369537257,-0.006854768854144667,0.665,1.0,0.38551310880651496
0.625,0.3222553750443168,-0.21177301312744948,-0.021505788411286066,0.624,1.0,0.38457773574050597
0.63,0.3526578271682936,0.05340703990058108,0.021749371171203978,0.2565,0.996,0.3796420374095869
0.635,0.32170907137950333,0.036821755143488274,0.13735834431988567,0.26,0.9985,0.36927701370785493
0.64,0.27129627937658385,-0.002191523075407607,0.2813151984755222,0.292,1.0,0.36382314628078233
0.645,0.2853062931971833,-0.2690015434141203,0.3330829149822043,0.667,1.0,0.37364528796740953
0.65,0.2275389461641603,-0.2280250811844765,0.2871559120211807,0.635,1.0,0.3706194234770621
0.655,0.06334382770606213,-0.25202063762369437,0.19622541671949476,0.652,1.0,0.3774274325114897
0.66,0.14898136355717173,-0.2474811351421715,0.11153612771878257,0.66,1.0,0.38414050617250584
0.665,0.3137261173764252,-0.22124111581993308,0.06253215186740364,0.638,1.0,0.3886204921977681
0.67,0.3987739862963157,0.03554732894976706,0.05437713453474909,0.2695,0.9985,0.38930845650759155
0.675,0.4148055188424518,0.1499147200797061,0.08722784093344094,0.1695,0.967,0.3710578501744263
0.68,0.35688871734421024,0.088256205780781,0.1731286936593267,0.2115,0.9885,0.36312604033484863
0.685,0.27634509706184673,0.02948577397152505,0.28462768935642613,0.269,0.999,0.37413120040675363
0.69,0.25198096612970317,-0.5790011560270312,0.34050997319031406,0.942,1.0,0.3936916287677358
0.695,0.18027020633461444,-0.28610342817274265,0.29277308958094933,0.7075,1.0,0.404209127431716
0.7,0.07356422615302846,-0.2804857819468959,0.21414811064749367,0.688,1.0,0.3949244101999166
0.705,0.1578641572681516,-0.2753384412591214,0.14487627241387951,0.6915,1.0,0.39769819172091603
0.71,0.25831510245418227,-0.3513257860825901,0.09763331761862815,0.767,1.0,0.3906578879912719
0.715,0.2990530314812521,-0.01064196129433429,0.10053580978142972,0.3295,1.0,0.3839440263548184
0.72,0.2802277244428192,0.04999314267688396,0.15672975561220376,0.2635,0.996,0.37261014568170253
0.725,0.2405479451131646,0.0400063611665694,0.24047602336263524,0.2725,0.998,0.3835998856864663
0.73,0.24957336365694024,-0.3317479161131906,0.30451750515872705,0.7525,1.0,0.3802508775385409
0.735,0.21778493978428265,-0.21963557615534604,0.2854686130408606,0.642,1.0,0.3822251011456882
0.74,0.09626531925380413,-0.23763365687088842,0.22043253917477795,0.6545,1.0,0.37063177242477097
0.745,0.08406623388045795,-0.23193753257011246,0.14998692730050228,0.6665,1.0,0.380581474651051
0.75,0.22852764162263756,-0.20484374294087662,0.09693274198805767,0.6625,1.0,0.3835397606480747
0.755,0.3021663579547982,-0.1987841201257797,0.0864087469167947,0.6785,1.0,0.4122765596861063
0.76,0.31266810232879494,-0.2351826388125577,0.13768402753704007,0.689,1.0,0.3975437107236757
0.765,0.26801224431256154,-0.11887249751623787,0.23132182799733733,0.5175,1.0,0.3844588715077759
0.77,0.19182524639772697,-0.6539547563219449,0.31256435425316964,0.968,1.0,0.3958361516453673
0.775,0.13056415864463305,-0.35779830931544804,0.28821387028434353,0.776,1.0,0.3901968501410312
0.78,0.1539812576735854,-0.3274096775146687,0.21702622963682558,0.7265,1.0,0.38449114249040856
0.785,0.2866015245195282,-0.2759925350002438,0.13513789236410476,0.6825,1.0,0.3875487741264869
0.79,0.4194982985386507,-0.16237370372198306,0.061838792966942224,0.5775,1.0,0.3947603700103427
0.795,0.5014570921921975,0.0914092463312218,0.024421386876295057,0.261,0.988,0.3906159078184183
0.8,0.541759388271513,0.3064256817447141,0.050679254283119694,0.094,0.8055,0.39391586419942143
0.805,0.5468545691074281,0.2868640195205048,0.13761237983761238,0.095,0.837,0.3888458714081149
0.81,0.46837561787886456,0.1825022695127708,0.27268036674386603,0.14,0.95,0.3536290747593787
0.815,0.32669668317452183,0.11277413673150906,0.38642782867521247,0.2255,0.981,0.3911576111665683
0.82,0.2428078000469982,-0.04225735242522709,0.39157077441820776,0.4105,1.0,0.3877762296291437
0.825,0.2354228573326049,-0.6726288859506382,0.3297991074619072,0.973,1.0,0.37671037512074956
0.83,0.2912129183907942,-0.6433304233296386,0.26499667679983147,0.962,1.0,0.38168961753758057
0.835,0.35807952526411974,-0.1563119244564367,0.2093728466790975,0.533,1.0,0.37198714089333
0.84,0.4015669858806117,0.09498316249373771,0.16392307684354687,0.228,0.987,0.37516719061712367
0.845,0.40699588969033956,0.1418780261029661,0.13061445711252506,0.186,0.97,0.38013211665711844
0.85,0.3626237904992167,0.13247804970146285,0.12082146755810969,0.1935,0.9715,0.38251994596973204
0.855,0.27817801450686147,0.09145726183930245,0.20707402865708324,0.2395,0.988,0.3892133726111452
0.86,0.21786084840218417,-0.16124727617903806,0.35815805839049286,0.604,1.0,0.4016859666457714
0.865,0.26962960478876496,-0.6780673767777278,0.3759783307437609,0.987,1.0,0.39406748429522287
0.87,0.35752937627494524,-0.7152094052797046,0.3441091706174756,0.996,1.0,0.38189742437207125
0.875,0.4212732274344883,-0.26828632970703986,0.3164042751551425,0.664,1.0,0.369295421078822
0.88,0.46150271808243964,0.10541523940667392,0.3012027119899163,0.2165,0.983,0.3724698655509085
